Manufacturer,Model Year,Regulatory Class,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
BMW,1984,All,22.98238,20.8959,26.17702,386.68762,425.29874,339.49626,2904.958,122.4933,-
BMW,1985,All,21.66213,19.39837,25.26581,411.76065,459.77672,353.07434,3190.847,129.0693,-
BMW,1986,All,21.24636,18.91711,24.90006,418.89137,470.4522,357.44562,3232.12,132.4146,-
BMW,1987,All,20.3318,18.00105,23.93364,437.09858,493.69334,371.31834,3235.812,146.9155,-
BMW,1988,All,18.00466,15.92595,21.13118,493.5943,558.02015,420.56331,3576.618,176.5322,-
BMW,1989,All,18.31651,16.2808,21.25411,485.19062,545.8576,418.13098,3493.828,184.3465,-
BMW,1990,All,18.40974,16.15552,21.67375,482.73347,550.09078,410.03515,3583.578,187.0657,-
BMW,1991,All,19.14252,16.63772,22.75097,464.25452,534.14758,390.6207,3557.409,182.554,-
BMW,1992,All,19.93818,17.07995,24.08767,445.72777,520.31782,368.94388,3648.426,185.8097,-
BMW,1993,All,20.90851,17.75821,25.44601,425.04221,500.44457,349.24922,3639.718,194.3674,-
BMW,1994,All,20.75436,17.5289,25.32833,428.19913,506.9914,350.87195,3660.418,197.7352,-
BMW,1995,All,20.84278,17.57449,25.36116,426.3827,505.67608,350.41774,3760.445,203.0469,-
BMW,1996,All,22.34681,18.97564,26.79628,397.68545,468.33741,331.65054,3453.167,180.8876,-
BMW,1997,All,21.05099,17.72114,25.4099,422.1654,501.49153,349.74554,3571.687,202.2726,-
BMW,1998,All,20.72315,17.38615,25.00054,428.844,511.15409,355.47228,3594.954,205.4915,-
BMW,1999,All,20.66633,17.25263,24.96643,430.02313,515.10975,355.95792,3675.658,198.8889,-
BMW,2000,All,19.94512,16.58542,24.09349,445.57265,535.83205,368.85477,3720.543,200.8902,-
BMW,2001,All,19.02744,15.98439,22.59589,467.0624,555.97993,393.30159,3958.763,225.9237,-
BMW,2002,All,20.09656,16.82603,23.85192,442.21507,528.16959,372.59058,3911.16,221.7764,-
BMW,2003,All,20.41724,17.02761,24.23319,435.26946,521.91696,366.72841,3810.624,215.392,-
BMW,2004,All,20.18993,16.61752,24.21112,440.16992,534.79709,367.06272,3807.097,217.4369,-
BMW,2005,All,20.19872,16.6619,24.0499,439.97846,533.37252,369.52329,3802.634,216.7289,-
BMW,2006,All,20.81946,17.0866,24.92778,426.86025,520.1153,356.50995,3779.217,231.4302,-
BMW,2007,All,21.4509,17.5979,25.69495,414.2949,505.00352,345.86558,3860.44,248.7019,-
BMW,2008,All,21.20061,17.37603,25.42178,419.18608,511.45184,349.58208,3960.529,259.8322,46.233
BMW,2009,All,21.90986,18.02197,26.16864,406.6181,494.32582,340.45262,3902.984,248.6076,45.4214
BMW,2010,All,22.11894,18.26597,26.30477,403.87825,489.03931,339.63393,3899.421,254.9807,45.78178
BMW,2011,All,22.64959,18.71925,26.91229,394.58177,477.44425,332.07147,4045.147,262.289,46.7829
BMW,2012,All,23.53401,19.74701,27.51463,380.20532,453.05973,325.24498,4070.738,264.2034,47.33868
BMW,2013,All,24.30114,20.2185,28.66816,366.24242,440.17913,310.46561,4012.19,267.1041,47.3745
BMW,2014,All,26.10456,21.73755,30.76751,340.99678,409.76701,289.11748,4016.625,264.8449,47.83606
BMW,2015,All,26.06036,21.66323,30.7723,341.18748,410.60212,288.82206,4005.659,262.9726,47.5175
BMW,2016,All,25.39662,21.22935,29.8112,349.18006,417.53912,297.61094,4079.652,262.5727,47.95946
BMW,2017,All,25.76831,21.67612,30.04768,342.32916,406.88812,293.62679,4107.224,256.648,47.92794
BMW,2018,All,25.98177,21.80164,30.37532,339.23188,403.63331,290.64834,4189.961,267.7994,48.28867
BMW,2019,All,26.16839,22.1656,30.2956,337.17953,397.80912,291.44143,4248.354,277.0029,49.26009
BMW,2020,All,25.52957,21.88216,29.20149,346.85679,404.40807,303.44092,4324.269,303.51,49.67683
BMW,2021,All,25.47971,22.21684,28.6544,344.76798,394.70891,307.09324,4394.195,300.6393,49.44044
Ford,1975,All,11.49702,10.50792,12.99166,772.9829,845.74275,684.0542,4212.492,140.07,-
Ford,1976,All,13.35717,12.46865,14.63151,665.33575,712.74765,607.38787,4250.931,134.3488,-
Ford,1977,All,13.8571,12.85832,15.31065,641.33178,691.14777,580.44557,4311.94,147.2797,-
Ford,1978,All,14.94157,13.72382,16.75912,594.78343,647.56021,530.27847,3989.882,135.2534,-
Ford,1979,All,14.77059,13.69544,16.33822,601.66872,648.902,543.93915,3811.835,130.5464,-
Ford,1980,All,17.6913,16.25304,19.83679,502.33719,546.79011,448.00584,3458.905,111.693,-
Ford,1981,All,18.40758,16.91175,20.6387,482.79036,525.49252,430.59881,3370.616,107.8088,-
Ford,1982,All,18.82681,17.17247,21.33941,472.03967,517.51441,416.45942,3349.966,104.9865,-
Ford,1983,All,18.66331,16.97932,21.23771,476.32759,523.55797,418.60156,3428.08,109.7642,-
Ford,1984,All,19.40396,17.70741,21.97754,458.45918,502.37409,404.7854,3418.605,111.0762,-
Ford,1985,All,19.96683,18.2147,22.62708,445.23038,488.05581,392.88819,3406.268,121.8592,-
Ford,1986,All,20.30638,18.40482,23.15595,437.76055,482.986,383.89359,3474.604,123.3031,-
Ford,1987,All,20.37211,18.25618,23.5417,436.29104,486.85586,377.5528,3476.392,123.6594,-
Ford,1988,All,20.59616,18.39259,23.83042,431.4881,483.18371,372.9267,3488.421,130.2637,-
Ford,1989,All,20.42134,18.16899,23.663,435.182,489.13006,375.56522,3571.027,128.0415,-
Ford,1990,All,19.89587,17.56163,23.22572,446.67566,506.04635,382.63612,3668.733,133.683,-
Ford,1991,All,20.24431,17.8154,23.63635,438.98765,498.8381,375.98874,3626.034,141.5541,-
Ford,1992,All,19.65651,17.1833,23.06915,452.11488,517.18817,385.23317,3792.675,149.301,-
Ford,1993,All,20.37732,17.74154,23.94613,436.12213,500.91473,371.12462,3677.676,144.8573,-
Ford,1994,All,19.73228,17.10428,23.228,450.37866,519.57752,382.5986,3792.461,150.3896,-
Ford,1995,All,19.92612,17.09418,23.67974,445.99753,519.88453,375.2997,3790.931,151.9904,-
Ford,1996,All,19.2441,16.48715,22.80664,461.80392,539.02569,389.66728,3871.194,159.4454,-
Ford,1997,All,18.79225,16.1591,22.07105,472.9078,549.9688,402.65422,3992.206,171.5815,-
Ford,1998,All,18.73708,16.02417,22.063,474.30025,554.59968,402.80108,3982.36,172.5266,-
Ford,1999,All,18.50941,15.77627,21.79213,480.13418,563.31444,407.80779,4034.157,181.3996,-
Ford,2000,All,18.64033,15.91647,21.80827,476.76195,558.35228,407.50588,4029.534,187.086,-
Ford,2001,All,18.20995,15.56356,21.19732,488.02982,571.01322,419.25111,4101.605,196.645,-
Ford,2002,All,18.08193,15.45379,20.96831,491.48516,575.06938,423.83016,4106.512,198.2051,-
Ford,2003,All,17.84251,15.18398,20.7094,498.08011,585.28797,429.1288,4283.979,206.3946,-
Ford,2004,All,17.01673,14.48054,19.67849,522.25077,613.72041,451.60982,4595.274,222.0374,-
Ford,2005,All,18.12266,15.45381,20.83738,490.38056,575.06851,426.49315,4390.806,214.2434,-
Ford,2006,All,18.03103,15.28602,20.85645,492.87268,581.38105,426.10321,4466.771,220.7297,-
Ford,2007,All,18.87513,15.91936,21.94956,470.83121,558.25107,404.8829,4295.139,215.6469,-
Ford,2008,All,19.33515,16.29127,22.5076,459.62929,545.5069,394.84443,4282.945,221.4304,51.09389
Ford,2009,All,20.46328,17.32136,23.84095,434.29016,513.06606,372.76204,4200.085,223.607,50.73896
Ford,2010,All,20.42485,17.31903,23.6203,435.10729,513.13508,376.24422,4366.565,231.4312,51.89109
Ford,2011,All,21.02658,17.87337,24.25458,422.65554,497.22011,366.40508,4375.463,252.6517,52.13163
Ford,2012,All,22.66097,19.21806,26.20215,392.14006,462.39963,339.13722,4152.548,240.4974,50.9167
Ford,2013,All,22.23815,18.82047,25.76817,399.56908,472.14277,344.8205,4487.814,264.6392,53.42463
Ford,2014,All,22.69922,19.16883,26.36189,391.42799,463.53924,337.02828,4335.389,253.717,52.39901
Ford,2015,All,22.8447,19.26379,26.57074,388.94727,461.26538,334.39151,4271.786,263.1427,53.10194
Ford,2016,All,22.81459,19.22037,26.56166,389.09172,461.78019,334.25656,4269.156,260.945,53.30583
Ford,2017,All,22.86587,19.29876,26.57084,388.1951,459.87002,334.12455,4359.822,261.9203,52.52872
Ford,2018,All,22.42136,19.10311,25.80246,396.52536,465.36876,344.59088,4475.529,283.5034,55.33967
Ford,2019,All,22.50912,19.30859,25.72602,394.76368,460.14263,345.44272,4482.096,285.3047,55.28709
Ford,2020,All,23.01148,19.89375,26.09681,386.05141,446.50309,340.4475,4537.199,290.2581,55.38551
Ford,2021,All,22.67477,19.98668,25.23513,390.06304,442.9297,350.20111,4740.324,305.1888,57.20625
GM,1975,All,12.65984,11.71405,14.04591,701.98366,758.66135,632.71094,4431.756,150.3929,-
GM,1976,All,13.66514,12.6999,15.06452,650.34118,699.76931,589.92901,4372.526,147.0813,-
GM,1977,All,14.61495,13.70837,15.90015,608.07608,648.29024,558.92544,4201.14,145.34,-
GM,1978,All,15.18227,14.17492,16.6264,585.9708,627.60761,535.08136,3898.109,139.1122,-
GM,1979,All,15.28753,14.4239,16.49462,583.24729,618.17954,540.55232,3927.839,135.4843,-
GM,1980,All,18.13271,16.60683,20.42666,493.23061,538.59348,437.78711,3494.518,116.4906,-
GM,1981,All,19.25397,17.50809,21.9263,466.08185,512.62671,409.19369,3538.07,113.82,-
GM,1982,All,20.09309,18.03088,23.35827,446.79814,497.85134,384.39978,3490.354,114.7609,-
GM,1983,All,19.53798,17.45551,22.8732,456.81646,511.30225,390.22271,3582.166,120.1027,-
GM,1984,All,20.0344,17.88126,23.49169,444.50119,498.00152,379.11189,3497.777,118.1249,-
GM,1985,All,20.511,18.21827,24.23935,433.66749,488.23354,366.97566,3497.243,120.727,-
GM,1986,All,21.41049,19.00132,25.22151,415.33155,467.97829,352.58978,3365.795,119.9903,-
GM,1987,All,21.44921,18.88913,25.46045,414.44616,470.61207,349.15661,3385.937,129.151,-
GM,1988,All,21.34297,18.77452,25.26161,416.50331,473.48066,351.89711,3444.107,133.3176,-
GM,1989,All,20.89913,18.29483,24.80601,425.32804,485.871,358.34332,3476.631,142.7462,-
GM,1990,All,20.61051,17.91223,24.6148,431.28595,496.25202,361.12779,3560.287,145.6419,-
GM,1991,All,20.79288,18.00176,24.85425,427.49086,493.77011,357.63783,3499.759,144.2033,-
GM,1992,All,20.30683,17.43379,24.45399,437.68507,509.81339,363.45909,3584.554,152.1871,-
GM,1993,All,20.31039,17.48131,24.25139,437.5593,508.37162,366.45316,3630.576,156.8979,-
GM,1994,All,20.00746,17.27094,23.68444,444.1844,514.56386,375.22529,3699.775,161.1818,-
GM,1995,All,19.8319,17.00292,23.58717,448.11642,522.67479,376.77257,3759.654,170.3101,-
GM,1996,All,20.40939,17.41031,24.32455,435.50853,510.52559,365.41443,3766.028,178.8112,-
GM,1997,All,20.11608,17.14842,23.88662,441.81844,518.27647,372.07833,3841.121,185.3327,-
GM,1998,All,20.1107,17.07794,23.88938,441.92874,520.40695,372.02789,3780.807,184.8819,-
GM,1999,All,19.44276,16.58798,22.8636,457.0863,535.75069,388.69744,3934.969,190.1475,-
GM,2000,All,19.43615,16.54464,22.82231,457.24078,537.15268,389.39963,3962.425,192.5639,-
GM,2001,All,19.36813,16.52098,22.59579,458.84663,537.92215,393.30341,4032.107,198.4217,-
GM,2002,All,18.78655,15.92385,21.98712,473.05128,558.09377,404.19122,4210.27,216.4096,-
GM,2003,All,18.69863,15.78629,21.89274,475.27546,562.95683,405.93361,4271.543,215.0516,-
GM,2004,All,18.88777,15.88145,22.12237,470.5162,559.58366,401.72012,4287.276,224.6777,-
GM,2005,All,19.13602,15.99159,22.46896,464.41212,555.72973,395.5234,4275.537,224.8396,-
GM,2006,All,19.58085,16.35152,23.00887,453.86177,543.49686,386.24232,4182.546,223.6541,-
GM,2007,All,19.14792,15.94658,22.56535,464.12355,557.29828,393.83384,4492.047,240.7288,-
GM,2008,All,19.64955,16.29961,23.25511,452.27492,545.22787,382.15251,4421.156,238.905,51.55719
GM,2009,All,20.58979,17.11545,24.31298,431.62177,519.23855,365.5249,4304.756,235.1431,51.46191
GM,2010,All,21.26286,17.54686,25.30572,417.9588,506.47242,351.18536,4349.11,244.947,51.53114
GM,2011,All,20.65983,17.12186,24.47507,430.15834,519.04416,363.10414,4565.567,254.3339,53.3631
GM,2012,All,21.6914,17.93276,25.76533,409.26946,495.00306,344.59324,4391.94,244.1557,52.04327
GM,2013,All,22.04622,18.27797,26.10649,402.45972,485.37506,339.90956,4398.796,248.7732,51.9154
GM,2014,All,22.67799,18.89203,26.71705,391.48409,469.90966,332.32094,4410.291,255.2509,53.24794
GM,2015,All,22.2454,18.54793,26.18291,399.2161,478.79863,339.18015,4602.432,272.0209,53.92461
GM,2016,All,22.39726,18.66918,26.36971,396.75924,476.01256,336.97165,4517.856,263.6389,53.17738
GM,2017,All,22.82027,19.02276,26.86628,388.18299,465.86165,329.5833,4520.192,264.8199,53.52012
GM,2018,All,23.00494,19.42078,26.72581,385.9766,457.26925,332.19442,4543.378,269.4702,54.43369
GM,2019,All,22.46647,19.05712,25.97162,394.98104,465.80713,341.55083,4437.974,273.2251,54.17217
GM,2020,All,23.03651,19.7651,26.32329,385.8118,449.88354,337.47698,4403.156,265.0531,54.49177
GM,2021,All,21.51264,18.63157,24.35357,415.49127,479.7074,367.04753,4760.878,288.9931,57.28944
Honda,1975,All,26.73205,24.52074,30.04347,332.44742,362.42783,295.8047,2000,54.2276,-
Honda,1976,All,27.7782,25.62241,30.96215,319.92714,346.84477,287.02783,2020.645,56.1541,-
Honda,1977,All,30.24422,28.17729,33.22282,293.84126,315.39579,267.49683,2085.068,62.4673,-
Honda,1978,All,28.62626,27.41315,30.26308,310.44924,324.18743,293.65812,2125.731,63.1319,-
Honda,1979,All,24.66368,23.35477,26.47734,360.32744,380.5218,335.64544,2307.891,64.2446,-
Honda,1980,All,24.79906,23.39692,26.75905,358.36033,379.8363,332.11191,2330,67.9808,-
Honda,1981,All,26.15433,24.90213,27.86703,339.79073,356.87713,318.90735,2342.626,71.1884,-
Honda,1982,All,28.39751,27.02558,30.27598,312.94997,328.83658,293.533,2353.727,71.4724,-
Honda,1983,All,29.98847,28.21452,32.48477,296.34727,314.97966,273.57436,2379.661,73.5538,-
Honda,1984,All,29.94806,27.68333,33.27519,296.74706,321.02352,267.07582,2379.815,84.3079,-
Honda,1985,All,28.75468,26.57931,31.9508,309.06269,334.35782,278.14643,2432.427,84.4769,-
Honda,1986,All,28.4728,26.18179,31.78149,312.12245,339.43439,279.62815,2564.539,89.8552,-
Honda,1987,All,27.73391,25.36154,31.10657,320.438,350.41249,285.69524,2632.956,92.9923,-
Honda,1988,All,26.74169,24.37596,30.03442,332.32755,364.58048,295.89385,2769.748,105.2522,-
Honda,1989,All,26.2212,23.87283,29.40577,338.92423,372.26414,302.21957,2800.162,110.2078,-
Honda,1990,All,25.37107,23.1086,28.34866,350.28084,384.57544,313.48924,2884.394,121.2141,-
Honda,1991,All,25.19746,22.8954,28.15978,352.69432,388.15663,315.59198,2913.081,129.5877,-
Honda,1992,All,25.68212,22.84181,29.43147,346.03842,389.06718,301.95571,3015.46,135.356,-
Honda,1993,All,26.53964,23.63964,30.24601,334.85759,375.9364,293.82384,2976.768,124.7867,-
Honda,1994,All,25.89959,23.00791,29.51751,343.1329,386.25847,301.07553,3084.142,134.3903,-
Honda,1995,All,26.50893,23.5106,30.17063,335.24557,377.99968,294.55801,3015.677,130.8725,-
Honda,1996,All,25.29815,22.29846,28.91595,351.29058,398.54762,307.33903,3105.716,136.5856,-
Honda,1997,All,25.15891,22.27992,28.49923,353.23471,398.87944,311.83302,3097.253,133.7336,-
Honda,1998,All,25.03751,21.98008,28.56059,354.9474,404.32063,311.16306,3231.457,144.3349,-
Honda,1999,All,23.94213,20.82,27.52053,371.18662,426.84922,322.92259,3345.433,156.3224,-
Honda,2000,All,23.75978,20.48939,27.47631,374.03541,433.73664,323.44231,3381.114,158.9594,-
Honda,2001,All,23.99532,20.62905,27.74287,370.36381,430.80036,320.33458,3427.72,162.437,-
Honda,2002,All,23.86664,20.40175,27.66755,372.36071,435.59994,321.20659,3461.625,170.6167,-
Honda,2003,All,23.2685,19.66867,27.20459,381.93273,451.83526,326.67282,3625.799,185.8269,-
Honda,2004,All,23.07746,19.51399,26.86586,385.0943,455.4168,330.79161,3633.458,187.008,-
Honda,2005,All,23.13997,19.44246,27.01585,384.05405,457.09229,328.95502,3659.44,193.3882,-
Honda,2006,All,23.01173,19.28512,26.93874,386.19439,460.8216,329.89667,3734.866,196.2365,-
Honda,2007,All,23.27681,19.53408,27.20971,381.79625,454.94841,326.6113,3712.919,192.5807,-
Honda,2008,All,23.87707,20.01595,27.94349,372.19805,443.99596,318.03471,3681.146,191.4198,46.48482
Honda,2009,All,24.62957,20.67564,28.7818,360.82644,429.82949,308.7715,3626.354,186.8664,46.30168
Honda,2010,All,24.92316,20.96027,29.0693,356.57523,423.99189,305.71706,3686.026,193.393,46.41016
Honda,2011,All,23.89925,20.24751,27.66299,371.84988,438.91523,321.25672,3847.969,201.1072,47.36481
Honda,2012,All,26.31626,22.1089,30.72754,337.69994,401.96484,289.2194,3644.774,192.0338,46.80058
Honda,2013,All,27.19169,23.03568,31.47564,326.80338,385.77158,282.31859,3605.745,191.8328,46.28336
Honda,2014,All,26.97831,22.98418,31.04864,329.38077,386.62938,286.19323,3701.345,201.0229,47.00553
Honda,2015,All,28.49802,24.48855,32.51397,311.84619,362.90431,273.32865,3639.161,194.0655,46.46969
Honda,2016,All,28.19015,24.18575,32.21373,315.25196,367.44779,275.87615,3680.32,206.9042,47.02018
Honda,2017,All,29.40652,25.2364,33.59426,302.06608,352.01373,264.38628,3594.878,202.6645,47.13898
Honda,2018,All,29.98078,25.92487,33.9927,295.57726,341.76107,260.73684,3594.87,201.7212,47.41127
Honda,2019,All,28.88833,25.01626,32.70742,307.35857,354.92258,271.47694,3661.499,207.121,47.78924
Honda,2020,All,29.0824,25.3637,32.69905,305.44039,350.21535,271.66279,3710.65,207.3102,47.69285
Honda,2021,All,29.03752,25.75086,32.13125,305.32415,344.214,275.9862,3776.689,205.1266,47.35032
Hyundai,1986,All,29.50005,27.94042,31.59155,301.25377,318.0697,281.3094,2500,68,-
Hyundai,1987,All,28.99627,27.51796,30.90659,306.4877,322.95276,287.54387,2500,68,-
Hyundai,1988,All,28.69215,27.22,30.537,309.73632,326.48791,291.02397,2500,68,-
Hyundai,1989,All,27.75856,25.19046,31.26952,320.15354,352.79235,284.20646,2580.206,74.7373,-
Hyundai,1990,All,27.56661,25.1528,30.72724,322.38278,353.32048,289.22222,2635.614,89.0456,-
Hyundai,1991,All,27.11118,24.58057,30.38404,327.7984,361.54572,292.48906,2631.509,88.8602,-
Hyundai,1992,All,25.74401,23.01932,29.29251,345.20647,386.06694,303.38811,2776.065,99.0156,-
Hyundai,1993,All,25.60753,22.98708,28.89283,347.04629,386.60842,307.58501,2790.266,104.1224,-
Hyundai,1994,All,26.88995,23.76952,30.84187,330.49525,373.88213,288.14728,2665.798,98.0132,-
Hyundai,1995,All,25.35978,22.08538,29.54204,350.4368,402.39284,300.82551,2812.677,112.0656,-
Hyundai,1996,All,26.78697,23.04053,31.57838,331.76579,385.71158,281.42672,2720.394,108.7869,-
Hyundai,1997,All,25.35033,21.75128,29.85114,350.56746,408.57359,297.71057,2820.059,115.9358,-
Hyundai,1998,All,24.89044,21.42432,29.07301,357.04476,414.80892,305.67867,2830.568,114.6055,-
Hyundai,1999,All,24.8014,20.9115,29.58855,358.3265,424.98154,300.35265,2948.388,126.3107,-
Hyundai,2000,All,24.35841,20.42714,29.11873,364.84315,435.0585,305.19875,3024.411,129.7427,-
Hyundai,2001,All,24.13301,20.34362,28.54099,368.25082,436.84457,311.37672,3217.944,137.341,-
Hyundai,2002,All,23.55728,19.81794,27.80561,377.25061,448.43214,319.61173,3290.646,141.9282,-
Hyundai,2003,All,22.83292,19.25548,26.76465,389.2187,461.53095,332.04247,3365.068,148.0652,-
Hyundai,2004,All,21.99775,18.48668,25.77909,403.99589,480.72462,344.7368,3478.766,154.8353,-
Hyundai,2005,All,22.46163,18.92782,26.14382,395.65245,469.52059,339.92736,3417.481,152.0281,-
Hyundai,2006,All,22.91185,19.0588,27.03502,387.87781,466.29386,328.72184,3612.333,182.9597,-
Hyundai,2007,All,23.20406,19.58174,26.96734,382.99332,453.84113,329.54672,3647.317,183.4354,-
Hyundai,2008,All,24.43355,20.62032,28.39479,363.72112,430.98274,312.97991,3486.023,168.458,44.71545
Hyundai,2009,All,25.05507,21.01698,29.30224,354.69873,422.84864,303.28738,3519.95,178.9776,45.1343
Hyundai,2010,All,27.00315,22.92232,31.19236,329.10972,387.7007,284.90952,3342.67,167.3887,45.11501
Hyundai,2011,All,26.89448,22.3078,31.83186,330.43958,398.38081,279.18566,3495.171,196.9701,46.97088
Hyundai,2012,All,28.04818,23.68695,32.57239,316.84767,375.1855,272.83843,3384.157,189.0855,46.22879
Hyundai,2013,All,28.98618,24.45088,33.70205,306.5944,363.46345,263.69318,3313.046,183.5964,46.16583
Hyundai,2014,All,27.21862,23.07408,31.48489,326.50441,385.15084,282.26236,3389.512,186.3991,46.23398
Hyundai,2015,All,27.45149,23.13965,31.94159,323.71495,384.03936,278.20707,3479.651,190.7713,47.18093
Hyundai,2016,All,28.75555,24.58074,32.98129,308.95447,361.41096,269.38203,3376.391,174.3861,46.34409
Hyundai,2017,All,28.56702,24.39543,32.79793,310.96355,364.13169,270.85424,3457.585,176.3049,46.49965
