Vehicle Type,Drive Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),Cylinders,4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears
"Minivan/Van","Four Wheel Drive","1984","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1985","3","0.003","25.01579","21.35316","19.18427","24.77680","416.19133","463.24421","358.68225","3000.000","-","122.0000","88.0000","16.0214","0.721311","0.029333","32.03885","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","5.0","-","4.0","-","1.000","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1986","13","0.013","25.11000","21.35728","19.14391","24.76946","416.11115","464.22083","358.78864","3000.000","-","122.0000","88.0000","15.3206","0.721311","0.029333","32.03591","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","5.0","-","4.0","-","1.000","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1987","21","0.019","24.24117","20.46754","19.03827","22.41586","434.19976","466.79657","396.46044","3459.199","-","127.8156","94.4538","16.4091","0.739310","0.027585","35.55900","0.664","-","0.229","-","0.106","0.325","-","0.675","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","4.0","0.229","0.771","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1988","9","0.008","26.17211","22.07164","19.96239","25.06861","402.64345","445.18720","354.50707","3378.019","-","124.8507","96.9502","15.8541","0.777448","0.028938","37.21688","0.897","-","0.103","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","4.0","0.103","0.897","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1989","9","0.007","23.39542","19.65076","17.92477","21.98343","452.24714","495.79445","404.25894","3567.019","-","135.5679","106.2538","15.3052","0.781088","0.029878","35.06799","0.594","-","0.372","-","0.035","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.6","-","4.3","0.372","0.628","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1990","83","0.066","20.11146","16.87912","15.21372","19.13491","526.50862","584.14381","464.43918","4049.938","-","201.6338","151.4810","12.4570","0.765041","0.037470","34.19652","0.032","0.043","0.925","-","-","-","-","0.850","0.150","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","5.8","0.971","0.029","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1991","113","0.109","20.59047","17.23060","15.45324","19.59981","515.76846","575.08978","453.42275","4076.214","-","199.6256","152.3234","12.4869","0.777792","0.037394","35.16302","0.046","-","0.954","-","-","-","-","0.859","0.141","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","5.7","0.957","0.043","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1992","67","0.055","20.27154","16.92295","15.09652","19.32122","525.14474","588.67873","459.96063","4408.809","-","212.4042","161.5727","12.2857","0.773559","0.036576","37.25651","0.033","-","0.967","-","-","-","-","0.911","0.089","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","5.6","0.967","0.033","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1993","65","0.045","20.30847","16.91757","14.95831","19.47378","525.31175","594.11798","456.35725","4571.264","-","229.2483","174.2303","11.1336","0.764697","0.038090","38.67927","0.002","0.004","0.995","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","5.9","0.998","0.002","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1994","91","0.064","20.66228","17.17268","15.08576","19.86155","517.50802","589.09874","447.44741","4408.190","-","219.1363","168.8164","11.0804","0.780553","0.038335","37.79140","0.005","-","0.995","-","-","-","-","0.975","0.025","-","-","-","-","-","-","-","1.000","-","-","-","0.349","-","4.0","-","5.9","0.995","0.005","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1995","150","0.091","21.72283","18.00008","15.70683","20.91887","493.71992","565.80497","424.83179","4209.527","-","208.5355","159.0230","11.5188","0.774865","0.037782","37.86081","0.004","-","0.996","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.170","-","4.0","-","5.9","0.996","0.004","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1996","33","0.023","19.99313","16.51382","14.49011","18.98638","538.15532","613.31492","468.07234","4726.773","-","244.0266","177.2112","11.8271","0.734548","0.037466","39.03113","0.001","-","0.999","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.153","-","4.0","-","5.9","0.999","0.001","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1997","59","0.047","19.95238","16.44680","14.33585","18.99435","540.34820","619.91438","467.87587","4692.852","-","242.6931","178.8177","11.6540","0.740898","0.038023","38.60309","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.102","-","4.1","-","6.0","0.864","0.136","-","-","-","-"
"Minivan/Van","Four Wheel Drive","1998","48","0.032","20.21971","16.62858","14.39895","19.28551","534.44127","617.19787","460.81234","4713.485","-","238.3969","180.2190","12.0173","0.761605","0.038246","39.24335","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","0.179","-","4.0","-","6.0","1.000","-","-","-","-","-"
"Pickup","Front Wheel Drive","1983","31","0.019","31.09208","26.54637","23.75050","31.00769","335.69516","375.12543","287.50261","2604.177","-","133.1438","88.6360","15.0785","0.665197","0.034065","34.76838","0.557","0.443","-","-","-","0.945","-","-","0.028","0.027","0.027","-","-","-","-","-","0.973","-","-","-","-","-","4.0","-","4.0","0.584","0.416","-","-","-","-"
"Pickup","Front Wheel Drive","1984","12","0.006","28.09042","24.00739","21.24140","28.55146","370.17772","418.38106","311.26252","2639.680","-","135.0000","90.0000","14.5931","0.666667","0.034171","31.73242","0.710","0.290","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.3","-","4.0","0.456","0.544","-","-","-","-"
"Pickup","Front Wheel Drive","1985","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1986","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1987","0","0.000","19.98000","17.04806","14.52431","21.36859","521.29102","611.87061","415.89084","4000.000","-","249.0000","135.0000","13.4717","0.542169","0.033750","34.09612","-","-","1.000","-","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","8.0","1.000","-","-","-","-","-"
"Pickup","Front Wheel Drive","1988","0","0.000","20.83000","17.71137","15.15636","21.90351","501.76813","586.35457","405.73412","4000.000","-","275.0000","155.0000","12.3771","0.563636","0.038750","35.42274","-","-","1.000","-","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","8.0","1.000","-","-","-","-","-"
"Pickup","Front Wheel Drive","1989","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1991","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1992","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1993","0","0.000","20.86000","17.62475","14.42723","22.68628","504.23423","615.98779","391.73455","4500.000","-","299.0000","200.0000","9.3498","0.668896","0.044444","39.65568","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.0","-","8.0","1.000","-","-","-","-","-"
"Pickup","Front Wheel Drive","1994","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1995","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1996","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1997","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1998","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","1999","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2001","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2002","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2004","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2008","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2009","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2011","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2012","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2013","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2015","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2016","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","Front Wheel Drive","2017","11","0.005","28.19390","22.54051","18.69402","26.68220","394.26788","475.39267","333.06847","4500.000","57.60000","213.5830","280.0000","7.5966","1.310966","0.062222","50.71615","-","-","1.000","-","-","-","1.000","-","-","-","-","-","-","-","-","-","1.000","-","-","1.000","1.000","1.000","6.0","-","6.0","-","-","1.000","-","-","-"
"Pickup","Front Wheel Drive","2018","3","0.002","28.19390","22.54051","18.69402","26.68220","394.26788","475.39267","333.06847","4500.000","57.60000","213.5830","280.0000","7.5966","1.310966","0.062222","50.71615","-","-","1.000","-","-","-","1.000","-","-","-","-","-","-","-","-","-","1.000","-","-","1.000","1.000","1.000","6.0","-","6.0","-","-","1.000","-","-","-"
"Pickup","Front Wheel Drive","2019","9","0.003","28.19390","22.54051","18.69402","26.68220","394.26788","475.39267","333.06847","4500.000","57.60000","213.5830","280.0000","7.5966","1.310966","0.062222","50.71615","-","-","1.000","-","-","-","1.000","-","-","-","-","-","-","-","-","-","1.000","-","-","1.000","1.000","1.000","6.0","-","6.0","-","-","1.000","-","-","-"
"Pickup","Front Wheel Drive","2020","1","0.001","28.75400","22.76154","19.43911","26.13071","390.43937","457.17104","340.09794","4500.000","57.60000","213.5830","280.0000","6.9498","1.310966","0.062222","51.21346","-","-","1.000","-","-","-","1.000","-","-","-","-","-","-","-","-","-","1.000","-","1.000","1.000","1.000","1.000","9.0","-","6.0","-","-","-","-","-","1.000"
"Pickup","Front Wheel Drive","Prelim. 2021","-","0.003","29.10140","22.36063","19.00000","25.80366","397.43966","467.73684","344.40846","4500.000","57.40000","213.5830","280.0000","6.9498","1.310966","0.062222","50.31141","-","-","1.000","-","-","-","1.000","-","-","-","-","-","-","-","-","-","1.000","-","1.000","1.000","1.000","1.000","9.0","-","6.0","-","-","-","-","-","1.000"
"Sedan/Wagon","Rear Wheel Drive","1975","7698","0.935","15.44238","13.15780","12.04769","14.82769","675.55731","737.79970","599.48329","4146.301","-","298.2190","139.5680","-","0.501667","0.033324","27.54914","0.165","0.834","0.001","-","-","0.955","-","0.043","-","0.003","0.003","-","-","-","-","-","0.997","-","-","-","-","-","-","-","6.9","0.132","0.011","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1976","9161","0.942","17.17098","14.62305","13.47821","16.31701","607.89718","659.52481","544.79674","4133.414","-","294.1018","135.9327","-","0.491433","0.032481","30.31945","0.145","0.855","-","-","-","0.975","-","0.022","-","0.003","0.003","-","-","-","-","-","0.997","-","-","-","-","-","3.0","-","6.9","1.000","-","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1977","10526","0.932","17.91586","15.25412","14.09313","16.96196","582.77045","630.76939","524.10508","4034.464","-","289.1989","136.5363","-","0.503502","0.033629","30.99820","0.130","0.870","-","-","-","0.975","-","0.022","-","0.003","0.003","-","-","-","-","-","0.997","-","-","-","-","-","-","-","7.0","-","-","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1978","10100","0.904","19.36012","16.49624","15.10328","18.59202","539.11034","588.82177","478.35193","3693.704","-","264.3751","128.6771","13.6141","0.521648","0.034534","30.63514","0.149","0.777","0.074","-","-","0.971","-","0.023","-","0.006","0.006","-","-","-","-","-","0.994","-","-","-","-","-","3.2","-","6.7","0.918","0.082","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1979","9474","0.878","19.61673","16.70190","15.43105","18.57124","533.09647","576.97624","479.46563","3604.046","-","252.6541","124.4114","14.3139","0.526568","0.034230","30.21815","0.159","0.750","0.092","-","-","0.956","-","0.027","-","0.016","0.016","-","-","-","-","-","0.984","-","-","-","-","-","3.2","-","6.6","0.948","0.052","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1980","6554","0.694","22.29822","18.99839","17.41590","21.37189","469.82618","512.52596","417.63756","3296.177","-","209.4612","107.0240","15.3158","0.554357","0.032322","31.45513","0.244","0.522","0.234","-","-","0.914","-","0.049","0.003","0.035","0.035","-","-","-","-","-","0.965","-","-","-","-","-","3.4","-","5.8","0.891","0.109","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1981","5436","0.622","23.45025","19.98608","18.25880","22.59902","448.20093","490.63451","396.33767","3333.217","-","211.0676","106.8523","15.4187","0.548172","0.031951","33.51629","0.203","0.265","0.533","-","-","0.839","-","0.066","0.031","0.063","0.063","-","-","-","-","-","0.937","-","-","-","-","-","3.5","-","5.9","0.883","0.117","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1982","4188","0.536","23.33642","19.90474","18.00758","22.84657","449.88786","497.21809","392.03980","3384.373","-","216.1807","112.1640","16.0579","0.552873","0.033001","33.94814","0.195","0.125","0.680","-","-","0.780","-","0.092","0.064","0.064","0.064","-","-","-","-","-","0.936","-","-","-","-","-","3.6","-","6.0","0.874","0.126","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1983","3973","0.496","22.50808","19.21433","17.21484","22.39328","464.03517","517.87403","398.23212","3547.323","-","235.8895","122.9860","13.9821","0.549284","0.034641","34.29578","0.143","0.093","0.764","-","-","0.695","-","0.135","0.141","0.029","0.029","-","-","-","-","-","0.971","-","-","-","-","-","3.6","-","6.4","0.893","0.107","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1984","4831","0.453","23.12717","19.74782","17.64171","23.12151","450.89633","504.67446","385.16751","3514.058","-","233.9046","125.0815","13.6563","0.569288","0.035577","34.91994","0.161","0.062","0.777","-","-","0.546","-","0.228","0.208","0.018","0.018","-","-","-","-","-","0.982","-","-","-","-","-","3.7","-","6.4","0.886","0.114","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1985","3918","0.363","23.48087","20.05453","17.86854","23.58036","443.83328","498.08101","377.53049","3576.136","-","239.7282","135.3716","12.9060","0.599633","0.037780","35.95749","0.151","0.079","0.770","-","-","0.445","-","0.229","0.313","0.013","0.013","-","-","-","-","-","0.987","-","-","-","-","-","3.8","-","6.5","0.877","0.123","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1986","3068","0.279","23.83569","20.30058","17.98888","23.97199","437.92659","494.19081","370.87112","3547.011","-","239.1662","139.4242","12.0458","0.625352","0.039283","36.04106","0.170","0.085","0.744","-","-","0.388","-","0.460","0.149","0.003","0.003","-","-","-","-","-","0.997","-","-","-","0.025","-","3.8","-","6.5","0.870","0.130","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1987","2347","0.219","23.54598","20.00933","17.55932","23.88387","444.67036","506.66819","372.58771","3608.092","-","241.5252","147.2510","11.8120","0.659595","0.040938","36.19565","0.183","0.087","0.730","-","-","0.302","-","0.589","0.098","0.010","0.010","-","-","-","-","-","0.990","-","-","-","0.040","-","4.0","-","6.6","0.827","0.173","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1988","1879","0.175","23.53654","19.94862","17.40925","23.90398","445.50901","510.49111","371.79258","3688.878","-","248.4727","156.9042","11.5718","0.675319","0.042801","36.91788","0.161","0.078","0.762","-","-","0.158","-","0.788","0.053","0.000","0.000","-","-","-","-","-","1.000","-","-","-","0.045","-","4.1","-","6.7","0.843","0.157","-","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1989","1654","0.165","23.64128","19.98177","17.37848","23.95356","444.76472","511.38968","371.01819","3708.021","-","243.9458","152.7695","11.3892","0.674604","0.041501","37.13101","0.149","0.091","0.759","-","-","0.059","-","0.833","0.107","0.000","0.000","-","-","-","-","-","1.000","-","-","-","0.108","-","4.1","-","6.7","0.851","0.146","0.002","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1990","1268","0.144","23.63225","19.90714","17.32653","23.72235","446.50232","512.99902","374.69797","3723.606","-","234.8970","158.9978","10.5490","0.732344","0.042898","37.11454","0.175","0.092","0.734","-","-","0.026","-","0.905","0.068","0.002","0.002","-","-","-","-","-","0.998","-","-","-","0.221","-","4.2","-","6.5","0.824","0.170","0.006","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1991","1310","0.154","24.03553","20.20239","17.42065","24.29188","440.14155","510.40724","366.06199","3726.302","-","240.3279","176.9254","9.8764","0.783413","0.047473","37.68276","0.157","0.089","0.754","-","-","-","-","0.795","0.201","0.005","0.005","-","-","-","-","-","0.995","-","-","-","0.224","-","4.2","-","6.7","0.840","0.155","0.005","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1992","1467","0.181","24.58766","20.58953","17.75096","24.64390","431.76707","500.80254","360.74296","3760.475","-","227.8357","179.3174","9.7551","0.834093","0.047463","38.73965","0.106","0.064","0.831","-","-","-","-","0.857","0.140","0.003","0.003","-","-","-","-","-","0.997","-","-","-","0.355","-","4.1","-","6.5","0.890","0.106","0.004","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1993","1162","0.137","24.26839","20.28716","17.34419","24.45620","438.06039","512.39055","363.38435","3814.242","-","242.6399","189.0740","8.9209","0.817184","0.049685","38.68986","0.114","0.068","0.818","-","-","-","-","0.894","0.106","-","-","-","-","-","-","-","1.000","-","-","-","0.248","-","4.1","-","6.7","0.873","0.116","0.011","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1994","1274","0.151","24.02016","20.04431","17.00923","24.29807","443.39828","522.51603","365.77525","3840.938","-","252.2281","198.2127","8.4788","0.818761","0.051630","38.51214","0.126","0.054","0.820","-","-","-","-","0.999","-","0.001","0.001","-","-","-","-","-","0.999","-","-","-","0.262","-","4.2","-","7.1","0.853","0.128","0.019","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1995","1585","0.169","24.63107","20.48355","17.32597","24.81484","434.02621","513.11618","358.27828","3783.521","-","230.5208","193.9825","8.9637","0.883701","0.050958","38.80669","0.129","0.066","0.805","-","-","-","-","0.996","-","0.004","0.004","-","-","-","-","-","0.996","-","-","-","0.417","-","4.2","-","6.5","0.844","0.136","0.021","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1996","943","0.119","24.30032","20.19476","16.88562","24.72866","440.18961","526.44827","359.48941","3862.052","-","256.7369","206.7819","8.8200","0.827910","0.053504","39.01086","0.149","0.056","0.796","-","-","-","-","0.997","-","0.003","0.003","-","-","-","-","-","0.997","0.003","-","-","0.261","-","4.2","-","7.1","0.822","0.153","0.025","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1997","977","0.117","24.32069","20.14140","16.84018","24.53375","441.35767","527.87098","362.34665","3826.986","-","244.5609","209.5348","8.6814","0.882458","0.054702","38.57282","0.139","0.002","0.859","-","-","-","-","0.997","-","0.003","0.003","-","-","-","-","-","0.997","0.002","-","-","0.382","-","4.3","-","7.0","0.718","0.258","0.024","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1998","855","0.107","24.52255","20.21921","16.94930","24.41865","439.71164","524.53883","364.09427","3770.530","-","242.2467","218.1068","8.6363","0.924130","0.057715","38.25782","0.157","0.002","0.840","-","-","-","-","0.996","-","0.004","0.004","-","-","-","-","-","0.996","0.005","-","-","0.428","-","4.4","-","7.0","0.590","0.383","0.027","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","1999","887","0.106","24.46225","20.11527","16.80142","24.28435","442.05614","529.24031","366.16985","3798.364","-","241.7368","225.8629","8.3384","0.968589","0.059617","38.32934","0.160","0.007","0.833","-","-","-","-","0.995","-","0.005","0.005","-","-","-","-","-","0.995","0.032","-","-","0.440","-","4.5","-","7.0","0.542","0.413","0.044","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","2000","1185","0.130","24.96194","20.42495","17.09774","24.47058","435.10513","519.77617","363.17074","3698.583","-","229.1977","227.6542","7.9713","1.019730","0.061012","37.80617","0.183","0.024","0.793","-","-","-","-","0.996","0.004","-","-","-","-","-","-","-","1.000","0.000","-","-","0.509","0.290","4.5","-","6.8","0.463","0.487","0.050","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","2001","1062","0.126","24.82716","20.25963","16.90018","24.26060","438.65570","525.85236","366.31407","3716.315","-","227.9639","226.3429","7.8198","1.031049","0.060883","37.72588","0.168","0.004","0.827","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","0.000","-","-","0.583","0.387","4.6","-","6.9","0.397","0.540","0.063","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","2002","933","0.112","24.46025","19.90290","16.57726","23.76536","446.51793","536.09574","373.94759","3783.435","-","233.7139","237.0957","7.7200","1.049336","0.062808","37.68022","0.183","0.005","0.812","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","0.000","-","-","0.613","0.365","4.8","-","6.9","0.302","0.592","0.106","-","-","-"
"Sedan/Wagon","Rear Wheel Drive","2003","1151","0.145","24.49117","19.87583","16.47889","23.74889","447.12591","539.29595","374.20697","3871.588","-","230.2596","244.9266","7.5869","1.095453","0.063628","38.50333","0.155","-","0.845","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","0.000","-","-","0.677","0.390","4.8","-","6.8","0.288","0.579","0.134","-","-","-"
